,CollegeCode,College,Department,Area
3608,ATG,Athletics,Athletics Non-Membership,Athletics/Other Wom/No I-Club
3609,MEG,Medicine,Neuroscience Institute,Neuroscience Area
3610,BUG,Business,Business Administration,Business
3611,DEG,Dentistry,Dentistry Administration,Dentistry Other
3612,ATG,Athletics,Athletics Non-Membership,Athletics/Other Wom/No I-Club
3613,MEG,Medicine,Neuroscience Institute,Neuroscience Area
3614,MEG,Medicine,Neuroscience Institute,Neuroscience Area
3615,BUG,Business,Business Administration,Business
3616,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
3617,BUG,Business,Business Administration,Business
3618,MEG,Medicine,Medicine Administration,Medicine Administration
3619,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3620,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3621,MEG,Medicine,Neurosurgery,Neurosurgery
3622,ENG,Engineering,Engineering Administration,Engineering
3623,NUG,Nursing,Nursing Administration,Nursing General
3624,SAG,Student Aid,Student Aid General Admin,Student Aid
3625,NUG,Nursing,Nursing Administration,Nursing General
3626,MEG,Medicine,Medicine Administration,Medicine Administration
3627,BUG,Business,Business Administration,Business
3628,MEG,Medicine,Internal Medicine,Hematology/Oncology
3629,PQG,Public Health,Public Health Administration,Public Health
3630,OCG,Pentacrest Museums,Museum of Natural History,Museum Nat Hist
3631,MEG,Medicine,Pathology,Pathology
3632,MEG,Medicine,Medicine Administration,Medicine Administration
3633,MEG,Medicine,Pediatrics,Pediatric Genetics
3634,LAG,Liberal Arts & Sciences,World Languages & Cultures,World Languages & Culture
3635,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
3636,MEG,Medicine,Pediatrics,Pediatric Neonatology
3637,MEG,Medicine,OB/Gyn,Ob/Gyn
3638,LIG,UI Libraries,University Libraries Admin,UI Libraries
3639,MEG,Medicine,Surgery,Surgery General
3640,MEG,Medicine,Surgery,Other
3641,MEG,Medicine,Medicine Administration,Medicine Administration
3642,LAG,Liberal Arts & Sciences,Geographical & Sustainability Studies,Geography
3643,HSG,UI Hospitals and Clinics,UI Hospitals & Clinics Admin,Hospital Other
3644,P1G,Provost Area Accounts,Provost Area Accounts,Provost Area
3645,NUG,Nursing,Nursing Administration,Nursing General
3646,DEG,Dentistry,Periodontics,Periodontics
3647,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
3648,LWG,Law,Law Foundation,Law Endowment Campaign
3649,HSG,UI Hospitals and Clinics,UI Hospitals & Clinics Admin,Hospital Other
3650,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
3651,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
3652,ENG,Engineering,Inst. for Hydraulic Research,Inst. for Hydraulic Research
3653,LAG,Liberal Arts & Sciences,Religion,Religion
3654,EDG,Education,Education Administration,Iowa Reading Research Center
3655,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3656,LWG,Law,Law Foundation,Law Foundation
3657,ENG,Engineering,Engineering Administration,Engineering
3658,DEG,Dentistry,Dentistry Administration,Dentistry Other
3659,SAG,Student Aid,Student Aid General Admin,Student Aid
3660,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
3661,NUG,Nursing,Nursing Administration,Nursing General
3662,MEG,Medicine,Psychiatry,Psychiatry
3663,NUG,Nursing,Nursing Administration,Nursing General
3664,IGG,International,International Programs Admin,International Programs
3665,NUG,Nursing,Nursing Administration,Nursing General
3666,BUG,Business,MBA,MBA
3667,VRG,Office of University Research,VP Research Administration,VP Research
3668,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3669,SAG,Student Aid,Student Aid General Admin,Student Aid
3670,LAG,Liberal Arts & Sciences,Music,Music
3671,VSG,Office of Univ Student Life,VP Student Life Admin,Recreational Services
3672,CEG,University College,University College Admin,Debate
3673,NUG,Nursing,Nursing Administration,Nursing General
3674,ENG,Engineering,Engineering Administration,Engineering
3675,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
3676,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
3677,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
3678,LAG,Liberal Arts & Sciences,Music,Music
3679,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
3680,MEG,Medicine,Surgery,Surgery General
3681,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery & Children
3682,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
3683,MEG,Medicine,Medicine Administration,Medicine Administration
3684,LAG,Liberal Arts & Sciences,African-American World Studies,African-American World Studies
3685,LAG,Liberal Arts & Sciences,Literary Arts,Iowa Review
3686,EDG,Education,Education Administration,Education
3687,LAG,Liberal Arts & Sciences,Journalism,Journalism
3688,MEG,Medicine,Cancer Center,Cancer Center
3689,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
3690,LAG,Liberal Arts & Sciences,Literary Arts,English
3691,DEG,Dentistry,Dentistry Administration,Dentistry Other
3692,LAG,Liberal Arts & Sciences,History,History
3693,MEG,Medicine,Associated Medical Sciences,Physician Assistant
3694,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3695,EDG,Education,Education Administration,Education
3696,MEG,Medicine,Medicine Administration,Medicine Capital Campaign
3697,LIG,UI Libraries,University Libraries Admin,Engineering Library
3698,MEG,Medicine,Medicine Administration,Medicine Administration
3699,BUG,Business,Business Administration,Business
3700,LIG,UI Libraries,University Libraries Admin,Sciences Funds-UI Libraries
3701,SAG,Student Aid,Student Aid General Admin,Student Aid
3702,LAG,Liberal Arts & Sciences,Music,Music
3703,BUG,Business,Business Administration,Business
3704,LAG,Liberal Arts & Sciences,Journalism,Journalism
3705,MEG,Medicine,Pediatrics,Pediatric Neonatology
3706,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences Other
3707,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
3708,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
3709,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
3710,LWG,Law,Law Administration,Law
3711,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
3712,VSG,Office of Univ Student Life,VP Student Life Admin,Student Health
3713,EDG,Education,Education Administration,Dept of Rehab & Counselor Ed
3714,UUG,UI Unrestricted,UI Unrestricted Administration,Unrestricted to University
3715,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3716,URG,Unrestricted,UIF Unrestricted Admin,UICA Board Designated
3717,PQG,Public Health,Public Health Administration,Public Health
3718,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
3719,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
3720,LWG,Law,Law Administration,Law
3721,CEG,University College,University College Admin,Debate
3722,MEG,Medicine,Neurosurgery,Neurosurgery
3723,SAG,Student Aid,Student Aid General Admin,Student Aid
3724,MEG,Medicine,Medicine Administration,Medicine Administration
3725,MEG,Medicine,Otolaryngology,Otolaryngology
3726,ENG,Engineering,Electrical/Computer Engineering,Electrical & Computer Engin.
3727,MUG,Museum of Art,Museum Administration,Museum of Art General
3728,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3729,MEG,Medicine,Ophthalmology & Visual Science,Iowa Lions Bank
3730,BUG,Business,Accounting Group,Accounting
3731,MEG,Medicine,Radiology,Radiology
3732,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
3733,ENG,Engineering,Inst. for Hydraulic Research,Inst. for Hydraulic Research
3734,HSG,UI Hospitals and Clinics,Children's Miracle Network,Children's Miracle Network
3735,MEG,Medicine,Surgery,Surgery General & Children Hos
3736,EDG,Education,Education Administration,Dept of Rehab & Counselor Ed
3737,NUG,Nursing,Nursing Administration,Nursing General
3738,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
3739,MEG,Medicine,Internal Medicine,Gastroenterology/Hepatology
3740,MEG,Medicine,Radiation Oncology,Cancer/Radiation Oncology
3741,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
3742,MEG,Medicine,Medicine Administration,Medicine Capital Campaign
3743,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
3744,LIG,UI Libraries,University Libraries Admin,Sciences Funds-UI Libraries
3745,SAG,Student Aid,Student Aid General Admin,Student Aid
3746,VRG,Office of University Research,VP Research Administration,VP Research
3747,LAG,Liberal Arts & Sciences,Journalism,Journalism
3748,MEG,Medicine,Medicine Administration,Medicine Administration
3749,EDG,Education,Education Administration,Education
3750,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
3751,MUG,Museum of Art,Museum Administration,Museum of Art General
3752,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
3753,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
3754,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
3755,LAG,Liberal Arts & Sciences,Liberal Arts & Sciences Admin.,Liberal Arts & Sciences
3756,MEG,Medicine,Medicine Administration,Medicine Administration
3757,MEG,Medicine,Internal Medicine,Internal Medicine Admin.
3758,PQG,Public Health,Public Health Administration,Public Health
3759,MEG,Medicine,Neuroscience Institute,Neuroscience Area
3760,MEG,Medicine,Internal Medicine,Internal Medicine Admin.
3761,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
3762,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
3763,LWG,Law,Law Foundation,Law Endowment Campaign
3764,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
3765,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
3766,NUG,Nursing,Nursing Administration,Nursing General
3767,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
3768,MEG,Medicine,Medicine Administration,CCOM Admin Hematology/Oncology
3769,MEG,Medicine,Pediatrics,Pediatric Allergy-Pulmonary
3770,MEG,Medicine,Medicine Administration,Medicine Administration
3771,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
3772,DEG,Dentistry,Oral & Maxillofacial Surgery,Oral and Maxillofacial Surgery
3773,MEG,Medicine,Internal Medicine,Hematology/Oncology
3774,MEG,Medicine,Neurosurgery,Neurosurgery
3775,SAG,Student Aid,Student Aid General Admin,Student Aid
3776,ATG,Athletics,Athletics I-Club Membership,Athletics/Women's/Endow/I-Club
3777,OCG,Pentacrest Museums,Museum of Natural History,Museum Nat Hist
3778,BUG,Business,Business Administration,Business
3779,SAG,Student Aid,Student Aid General Admin,Student Aid
3780,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3781,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
3782,MEG,Medicine,Cancer Center,Cancer Center
3783,LAG,Liberal Arts & Sciences,Geographical & Sustainability Studies,Geography
3784,SAG,Student Aid,Student Aid General Admin,Student Aid
3785,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
3786,LAG,Liberal Arts & Sciences,Art and Art History,Art & Art Hist.
3787,BUG,Business,Business Administration,Business
3788,BUG,Business,Business Administration,Business
3789,SAG,Student Aid,Student Aid General Admin,Student Aid
3790,LWG,Law,Law Foundation,Law Foundation
3791,MEG,Medicine,Internal Medicine,Gastroenterology/Hepatology
3792,LAG,Liberal Arts & Sciences,Classics,Classics
3793,MEG,Medicine,Internal Medicine,Internal Medicine Education
3794,MEG,Medicine,Pathology,Pathology
3795,MEG,Medicine,Medicine Administration,Medicine Administration
3796,MEG,Medicine,Neuroscience Institute,Neuroscience Area
3797,BUG,Business,Business Administration,Business
3798,SAG,Student Aid,Student Aid General Admin,Student Aid
3799,MEG,Medicine,Pediatrics,Pediatric Neonatology
3800,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
3801,MEG,Medicine,Neurology,Neurology
3802,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
3803,MEG,Medicine,Medicine Administration,Medicine Administration
3804,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
3805,MEG,Medicine,Pediatrics,Pediatrics
3806,ATG,Athletics,Athletics Non-Membership,Athletics/Other Wom/No I-Club
3807,LAG,Liberal Arts & Sciences,History,History
3808,LAG,Liberal Arts & Sciences,Religion,Religion
3809,EDG,Education,Education Administration,Education
3810,MEG,Medicine,Pediatrics,Pediatric Neonatology
3811,IGG,International,International Programs Admin,International Programs
3812,BUG,Business,Business Administration,Business
3813,MEG,Medicine,Pediatrics,Pediatric Neonatology
3814,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
3815,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
3816,DEG,Dentistry,Dentistry Administration,Dentistry General
3817,MEG,Medicine,Medicine Administration,Medicine Administration
3818,NUG,Nursing,Nursing Administration,Nursing General
3819,LAG,Liberal Arts & Sciences,World Languages & Cultures,Asian Languages and Literature
3820,BUG,Business,Business Administration,Business
3821,HSG,UI Hospitals and Clinics,UI Children's Hospital,Center for Disabilities & Dev
3822,DEG,Dentistry,Orthodontics,Orthodontics
3823,MEG,Medicine,Medicine Administration,Medicine Administration
3824,LWG,Law,Law Administration,Law
3825,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3826,LWG,Law,Law Foundation,Law Endowment Campaign
3827,MEG,Medicine,Pediatrics,Pediatrics
3828,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
3829,ATG,Athletics,Athletics Non-Membership,Athletics/Other Men/No I-Club
3830,MEG,Medicine,Medicine Administration,Medicine Administration
3831,MEG,Medicine,Medicine Administration,Medicine Administration
3832,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
3833,MUG,Museum of Art,Museum Administration,Museum of Art General
3834,HAG,Hancher,Hancher Administration,Hancher Other
3835,ATG,Athletics,Athletics I-Club Membership,Athletics/Women's/Endow/I-Club
3836,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3837,LAG,Liberal Arts & Sciences,Literary Arts,Nonfiction Writing
3838,MEG,Medicine,Basic Sciences,Anatomy and Cell Biology
3839,MEG,Medicine,Neurosurgery,Neurosurgery
3840,MEG,Medicine,Family Medicine,Family Medicine
3841,MEG,Medicine,Neurology,Neurology
3842,LAG,Liberal Arts & Sciences,World Languages & Cultures,French and Italian
3843,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
3844,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
3845,LWG,Law,Law Foundation,Law Endowment Campaign
3846,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
3847,BUG,Business,Accounting Group,Accounting
3848,MEG,Medicine,Pediatrics,Pediatrics
3849,MEG,Medicine,Ponseti International Associat,Ponseti Intl Assoc & Children'
3850,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,30173 accounts under Area LJ
3851,HSG,UI Hospitals and Clinics,UI Hospitals & Clinics Admin,Hospital Other
3852,MEG,Medicine,OB/Gyn,Ob/Gyn
3853,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
3854,MEG,Medicine,Neurology,Neurology
3855,LAG,Liberal Arts & Sciences,Social Work,Social Work
3856,SAG,Student Aid,Student Aid General Admin,Student Aid
3857,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3858,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Burn accounts
3859,SAG,Student Aid,Student Aid General Admin,Student Aid
3860,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
3861,DEG,Dentistry,Dentistry Administration,Dentistry Other
3862,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
3863,BUG,Business,Accounting Group,Accounting
3864,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
3865,MEG,Medicine,Medicine Administration,Medicine Administration
3866,LIG,UI Libraries,University Libraries Admin,Hardin Lib for Health Sciences
3867,SAG,Student Aid,Student Aid General Admin,Student Aid
3868,LWG,Law,Law Foundation,Law Endowment Campaign
3869,MEG,Medicine,Cancer Center,Cancer Center
3870,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
3871,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
3872,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
3873,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
3874,UnivofIowa,University of Iowa,University of Iowa Administration,University of Iowa Receipt Only
3875,AAG,Alumni Association,Alumni Association Admin,Dental Hygiene
3876,BUG,Business,Business Administration,Business
3877,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
3878,MEG,Medicine,Medicine Administration,Global Education
3879,CEG,University College,University College Admin,Honors Program
3880,LAG,Liberal Arts & Sciences,Journalism,Journalism
3881,MEG,Medicine,Internal Medicine,Internal Medicine Admin.
3882,HSG,UI Hospitals and Clinics,Children's Miracle Network,Children's Miracle Network
3883,LAG,Liberal Arts & Sciences,Religion,Religion
3884,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
3885,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
3886,LWG,Law,Law Administration,Law
3887,MEG,Medicine,Pathology,Pathology
3888,HAG,Hancher,Hancher Administration,Hancher
3889,LWG,Law,Law Administration,Law
3890,MEG,Medicine,Medicine Administration,Medicine Administration
3891,SAG,Student Aid,Student Aid General Admin,Student Aid
3892,EDG,Education,Belin Blank Center,Belin Center
3893,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
3894,LWG,Law,Law Foundation,Law Endowment Campaign
3895,DEG,Dentistry,Dental Research,Dental Research
3896,LWG,Law,Law Administration,Law
3897,HSG,UI Hospitals and Clinics,Emergency Medicine Dept,Emergency Medicine
3898,LWG,Law,Law Foundation,Law Endowment Campaign
3899,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
3900,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
3901,DEG,Dentistry,Dentistry Administration,Dentistry Other
3902,EDG,Education,Education Administration,Education
3903,MEG,Medicine,Urology,Urology
3904,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
3905,MEG,Medicine,Medicine Administration,Medicine Administration
3906,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
3907,MEG,Medicine,Cancer Center,Cancer Center
3908,LWG,Law,Law Foundation,Law Foundation
3909,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
3910,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
3911,CEG,University College,University College Admin,University
3912,MUG,Museum of Art,Museum Administration,Museum of Art General
3913,LAG,Liberal Arts & Sciences,Journalism,Journalism
3914,HSG,UI Hospitals and Clinics,UI Children's Hospital,Center for Disabilities & Dev
3915,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
3916,MEG,Medicine,Cardiothoracic Surgery,Cardiothoracic Surgery
3917,BUG,Business,Business Administration,Business
3918,LIG,UI Libraries,University Libraries Admin,Women's Archives
3919,BUG,Business,Business Administration,Business
3920,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
3921,MEG,Medicine,Psychiatry,Psychiatry
3922,LAG,Liberal Arts & Sciences,Literary Arts,English
3923,SAG,Student Aid,Student Aid General Admin,Student Aid
3924,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
3925,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,30173 accounts under Area LJ
3926,BUG,Business,Accounting Group,Accounting
3927,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
3928,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
3929,DEG,Dentistry,Pediatric Dentistry,Pediatric Dentistry
3930,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3931,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
3932,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
3933,LWG,Law,Law Administration,Law
3934,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
3935,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
3936,IGG,International,International Programs Admin,International Programs
3937,PQG,Public Health,Public Health Administration,Public Health
3938,PQG,Public Health,Public Health Administration,Public Health
3939,BUG,Business,Business Administration,Business
3940,CEG,University College,University College Admin,Honors Program
3941,ENG,Engineering,Engineering Administration,Engineering
3942,LWG,Law,Law Foundation,Law Endowment Campaign
3943,EDG,Education,Education Administration,Education
3944,MEG,Medicine,Internal Medicine,Division of General Internal Medicine
3945,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3946,BUG,Business,Accounting Group,Accounting
3947,MEG,Medicine,Otolaryngology,Otolaryngology
3948,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
3949,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
3950,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
3951,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
3952,NUG,Nursing,Nursing Administration,Nursing General
3953,LAG,Liberal Arts & Sciences,Social Work,Social Work
3954,SAG,Student Aid,Student Aid General Admin,Student Aid
3955,PHG,Pharmacy,Pharmacy Administration,Pharmacy Building
3956,MEG,Medicine,Cardiothoracic Surgery,Cardiothoracic Surgery
3957,BUG,Business,Business Administration,Institute for International Business
3958,DEG,Dentistry,Prosthodontics,Prosthodontics
3959,LAG,Liberal Arts & Sciences,World Languages & Cultures,Russian
3960,PQG,Public Health,Occupation & Environment Hlth,Occupational & Environ. Hlth.
3961,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
3962,LWG,Law,Law Foundation,Law Endowment Campaign
3963,SAG,Student Aid,Student Aid General Admin,Student Aid
3964,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
3965,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
3966,MUG,Museum of Art,Museum Administration,Museum of Art General
3967,DEG,Dentistry,Dentistry Administration,Dentistry General
3968,NUG,Nursing,Nursing Administration,Nursing General
3969,MEG,Medicine,Pediatrics,Hematology/Oncology
3970,P1G,Provost Area Accounts,Provost Area Accounts,Provost Area
3971,LAG,Liberal Arts & Sciences,Computer Science,Computer Sci.
3972,ENG,Engineering,Engineering Administration,Engineering
3973,PQG,Public Health,Health Management and Policy,Health Management and Policy
3974,MEG,Medicine,Neurology,Neurology
3975,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
3976,HSG,UI Hospitals and Clinics,Emergency Medicine Dept,Emergency Medicine
3977,LAG,Liberal Arts & Sciences,Art and Art History,Printmaking
3978,MEG,Medicine,Medicine Administration,Medicine Administration
3979,MEG,Medicine,Medicine Administration,Medicine Administration
3980,BUG,Business,Marketing,Marketing
3981,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
3982,SAG,Student Aid,Student Aid General Admin,Student Aid
3983,BUG,Business,Business Administration,Hawkinson Institute
3984,MEG,Medicine,Neuroscience Institute,Neuroscience Area
3985,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
3986,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
3987,MEG,Medicine,Neurology,Neurology
3988,ENG,Engineering,Engineering Administration,Engineering
3989,PQG,Public Health,Health Management and Policy,Health Management and Policy
3990,HAG,Hancher,Hancher Administration,Hancher
3991,MEG,Medicine,Neurology,Neurology
3992,EDG,Education,Education Administration,Education
3993,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
3994,MEG,Medicine,Medicine Administration,Medicine Administration
3995,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
3996,MEG,Medicine,Orthopaedic Surgery,Athletic Training Education
3997,MEG,Medicine,Medicine Administration,Medicine Administration
3998,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
3999,LAG,Liberal Arts & Sciences,Political Science,Political Sci.
4000,PQG,Public Health,Occupation & Environment Hlth,Occupational & Environ. Hlth.
4001,MEG,Medicine,Pediatrics,Hematology/Oncology
4002,BUG,Business,Business Administration,Business
4003,EDG,Education,Belin Blank Center,Belin Center
4004,MEG,Medicine,Neurology,Neurology
4005,LAG,Liberal Arts & Sciences,Music,Music
4006,BUG,Business,Business Administration,Business
4007,P1G,Provost Area Accounts,Provost Area Accounts,Office of Diversity
4008,BUG,Business,Business Administration,Business
4009,BUG,Business,Business Administration,Business
4010,BUG,Business,Marketing,Marketing
4011,ENG,Engineering,Electrical/Computer Engineering,Electrical & Computer Engin.
4012,EDG,Education,Education Administration,Education
4013,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
4014,BUG,Business,Business Administration,Business
4015,OCG,Pentacrest Museums,Old Capitol Administration,Old Capitol
4016,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
4017,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
4018,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
4019,MEG,Medicine,Internal Medicine,Pulmonary Disease
4020,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
4021,MEG,Medicine,Cancer Center,Cancer Center
4022,MUG,Museum of Art,Museum Administration,Museum of Art General
4023,LAG,Liberal Arts & Sciences,Classics,Classics
4024,BUG,Business,Business Administration,Business
4025,MEG,Medicine,Pediatrics,Hematology/Oncology
4026,MEG,Medicine,Medicine Administration,Medicine Capital Campaign
4027,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
4028,ATG,Athletics,Athletics Non-Membership,Athletics/Other Men/No I-Club
4029,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
4030,NUG,Nursing,Nursing Administration,Nursing General
4031,DEG,Dentistry,Prosthodontics,Prosthodontics
4032,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
4033,CEG,University College,University College Admin,Debate
4034,MEG,Medicine,Cancer Center,Cancer Center
4035,LWG,Law,Law Foundation,Law Foundation
4036,BUG,Business,Business Administration,Business
4037,BUG,Business,Business Administration,Business
4038,MEG,Medicine,Associated Medical Sciences,Phys. Therapy
4039,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
4040,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
4041,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
4042,CEG,University College,University College Admin,Honors Program
4043,ENG,Engineering,Engineering Administration,Engineering
4044,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
4045,MEG,Medicine,Cancer Center,Cancer Center
4046,LWG,Law,Law Foundation,Law Library
4047,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Lib. Arts & Sciences Unrestric
4048,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
4049,CEG,University College,University College Admin,Honors Program
4050,BUG,Business,Business Administration,Business
4051,ENG,Engineering,Engineering Administration,Engineering
4052,MEG,Medicine,Neurosurgery,Neurosurgery
4053,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
4054,NUG,Nursing,Nursing Administration,Nursing Centennial
4055,SAG,Student Aid,Student Aid General Admin,Student Aid
4056,MEG,Medicine,Hospital Based Needs Program,Support & Palliative Care
4057,ENG,Engineering,Engineering Administration,Engineering
4058,LAG,Liberal Arts & Sciences,Art and Art History,Printmaking
4059,BUG,Business,Business Administration,Business
